abs_link,title,er,loc,exp,post_date,ref_no,content,career_lv
https://www.ctgoodjobs.hk/job/customer-service-officer/05153353,Customer Service Officer,YesStyle.com Ltd," Kwai Fong
", 1 yr(s)," 2018-06-02
",Job ref no.: CSO/06/02/CT,"Responsibilities. :. . Handle customers complaints & enquiries, including answering email & phone calls.. . Initiate, plan and execute cross-departmental customer- enhancement projects and follow-ups. . Maintain customer orders. . Inspect product quality, check order report & side tasks and follow up ad-hoc tasks. . Requirements. :. . Diploma or above. . Excellent command of spoken and written English (with Cantonese and Mandarin an advantage). . Major in English study is an advantage. . Computer literate, proficiency in MS Office. . Chinese typing an advantage. . Experience in e-commerce industry will be an added advantage. . Open minded, flexible and able to work in a highly dynamic, high pressure environment  and meeting tight deadline. . Logical problem solving skill & able to multi-task.. . Customer-oriented. . Able to work under minimum supervision. . Interested in entertainment & fashion products. . Must be a team-player. . Shift duties 5 days a week (including public holidays and weekends). . Mon-Fri:  between 8:00-20:00; Public holidays and weekends:  8:00-16:45. . . We offer a generous remuneration package including Performance Bonus and Long Service Recognition Program, MPF, Medical Insurance, Staff Purchase Discount and Training & Development Program to the right candidate.. Please send your full resume stating our reference code, your current and expected salary to. [via CTgoodjobs. Apply Now. ]. for application.. To know more about us, please visit. www.yesasia.com. and. www.yesstyle.com. .. All information provided by applicants will be treated in strict confidence and used only for the recruitment purpose in accordance with employer's data policies.",Entry level
https://www.ctgoodjobs.hk/job/senior-analyst-programmer/05153352,Senior Analyst Programmer,YesStyle.com Limited," Kwai Fong
", 1-2 yr(s)," 2018-06-02
",Job ref no.: BESNP/06/02/CT,"Responsibilities. :. . Work in program design, coding, testing, deployment and documentation. . Enhance the company e-business platform. . Analyze the company business process and develop new features for improving business operations. . Response to user problems in using the company internal systems. . Requirements. :. . Higher Diploma or above in Computer Science or equivalent. . At least 2 years IT working experience. . Proficiency in Java EE, including Spring, Servlet, Javascript, XML, JSON, HTML5, EJB, , Hibernate. . Responsible, self-motivated, willing to learn and good team player. . We offer a generous remuneration package including Performance Bonus and Long Service Recognition Program, MPF, Medical Insurance, Staff Purchase Discount and Training & Development Program to the right candidate.. Please send your full resume stating our reference code, your current and expected salary to [via CTgoodjobs. Apply Now. ] for application.. To know more about us, please visit. www.yesasia.com. and. www.yesstyle.com. .. All information provided by applicants will be treated in strict confidence and used only for the recruitment purpose in accordance with employer's data policies.. ",Entry level
https://www.ctgoodjobs.hk/job/system-analyst/05153351,System Analyst,YesStyle.com Limited," Kwai Fong
", 1-2 yr(s)," 2018-06-02
",Job ref no.: ITSA/06/02/CT,"Responsibilities. :. . Formal methodology in developing and deploying projects for the commercial website, ERP system and the Catalog system. . Actively participate in business process enhancement and system development processes. . Requirements. :. . University degree in Computer Science or related disciplines with 4 to 8 years IT experience. . Strong OOA and OOD skills required. . Solid experience in designing Java EE system. . Strong SQL skills and experience with MS SQL and/or Oracle is a plus.. . Experience in logistic or finance sectors and back office best practices is preferred. . Experience in commercial website development is an advantage. . Excellent interpersonal & communication skill. . Excellent problem solving and solution formulation skill. . Self-motivated & independent. . Fast Learner. . Have strong passion for technology. . Willing to work under high pressure and meet tight project schedule. . We offer a generous remuneration package including Performance Bonus and Long Service Recognition Program, MPF, Medical Insurance, Staff Purchase Discount and Training & Development Program to the right candidate.. Please send your full resume stating our reference code, your current and expected salary to [via CTgoodjobs. Apply Now. ] for application.. To know more about us, please visit. www.yesasia.com. and. www.yesstyle.com. .. All information provided by applicants will be treated in strict confidence and used only for the recruitment purpose in accordance with employer's data policies.. ",Entry level
https://www.ctgoodjobs.hk/job/analyst-programmer-programmer/05153350,Analyst Programmer / Programmer,YesStyle.com Limited," Kwai Fong
", 1-2 yr(s)," 2018-06-02
",Job ref no.: ITAP/06/02/CT,"Responsibilities. :. . Work in program design, coding, testing, deployment and documentation.. . Enhance the company e-business platform. . Analyze the company business process and develop new features for improving business operations.. . Response to user problems in using the company internal systems. . Requirements. :. . Higher Diploma, Associate Degree or Degree holder with major in Computer Science or related disciplines. . Knowledge in SQL, Java programming, and OO concepts. . Responsible, self-motivated, willing to learn and good team player. . Experience in Oracle DB, ERP, CRM, HRIS, or web programming will be an advantage. . Candidate with less experience will be considered as Programmer. . We offer a generous remuneration package including Performance Bonus and Long Service Recognition Program, MPF, Medical Insurance, Staff Purchase Discount and Training & Development Program to the right candidate.. Please send your full resume stating our reference code, your current and expected salary to [via CTgoodjobs. Apply Now. ] for application.. To know more about us, please visit. www.yesasia.com. and. www.yesstyle.com. .. All information provided by applicants will be treated in strict confidence and used only for the recruitment purpose in accordance with employer's data policies.. ",Entry level
https://www.ctgoodjobs.hk/job/office-clerk-fashion-辦公室文員時裝產品/05153349,Office Clerk (Fashion) / 辦 公 室 文 員 ( 時 裝 產 品 ),YesStyle.com Ltd," Kwai Fong
", 0-1 yr(s)," 2018-06-02
",Job ref no.: CNBOC/06/02/CT,"Responsibilities :. -     Help with launching new product data. -     Help with managing our product catalog. -     Follow up with vendor sourcing, order/ delivery arrangement. -     Co-operate with various team members for promotion arrangements. -     Deal with clerical duties and ad-hoc tasks assigned by the supervisor. . 職責 :. -     更新網頁的產品資料. -     管理產品目錄. -     負責跟進訂單，如落單、安排產品運送. -     與其他部門合作安排推廣產品. -     協助主管處理日常工作. . Requirements :. -     DSE / Diploma graduate. -     Good command in spoken & written English and Chinese. -     Computer literate (E-mail, Internet, Excel, Chinese & English word processing). -     Detail-oriented, hardworking, able to do multi-tasks. -     Interested in e-commerce/ on-line retailing. -     Team player with good communication skills. . 要求 :. -      完成中學或文憑課程. -      能讀寫流利英語, 普通話及粵語. -      精於電腦應用(Email、Internet、MS Excel、中英文文書處理). -      謹慎、勤力、能同時處理多項工作. -      對電子商務或網上銷售有興趣. -      有團隊精神和良好溝通技巧. We offer a generous remuneration package including Performance Bonus and Long Service Recognition Program, MPF, Medical Insurance, Staff Purchase Discount and Training & Development Program to the right candidate.. Please send your full resume stating our reference code, your current and expected salary to. [via CTgoodjobs. Apply Now. ]. . for application.. To know more about us, please visit. www.yesasia.com. &. www.yesstyle.com. .. All information provided by applicants will be treated in strict confidence and used only for the recruitment purpose in accordance with employer's data policies.. ",Entry level
https://www.ctgoodjobs.hk/job/inventory-clerk/05153348,Inventory Clerk,YesStyle.com Limited," Kwai Fong
", 1-2 yr(s)," 2018-06-02
",Job ref no.: ICC/06/02/CT,"Responsibilities. :. . Co-ordinate with different teams in buffer stock planning & ordering. . Prepare various regular and ad-hoc reports. . Launch new product data & manage product catalog. . Handle any ad-hoc task assigned. . Requirements. :. . Higher Diploma graduate or above with 1 year working experience. . Good Excel skill and willing to deal with details.. . Good command of spoken and written English, Chinese with Mandarin skills an advantage. . Getting academic background and/or experience related to inventory control / supply chain management will be an added advantage. . Open minded and able to work in a highly dynamic, high pressure environment in meeting tight deadlines. . Hard working, Multi-tasking & Detail Oriented. . Interested in e-commerce / on-line retailing. . Good communication skills. . We offer a generous remuneration package including Performance Bonus and Long Service Recognition Program, MPF, Medical Insurance, Staff Purchase Discount and Training & Development Program to the right candidate.. Please send your full resume stating our reference code, your current and expected salary to [via CTgoodjobs. Apply Now. ] for application.. To know more about us, please visit. www.yesasia.com. and. www.yesstyle.com. .. All information provided by applicants will be treated in strict confidence and used only for the recruitment purpose in accordance with employer's data policies.. ",Entry level
https://www.ctgoodjobs.hk/job/marketing-assistant-ma0602ct/05153347,Marketing Assistant (MA/06/02/CT),YesStyle.com Limited," Kwai Fong
", 1-2 yr(s)," 2018-06-02
",Job ref no.: MA/06/02/CT,"Responsibilities. :. . Assist in various areas of online marketing operations across several channels including but not limited to: posting on Facebook and Instagram, partner and blogger/vlogger communication, social media inquiries and follow-ups, issuing of coupons, preparation of marketing report, channel analytics.. . Coordinate well with internal teams to obtain creative assets on time for campaign launch; to obtain historical for further analysis.. . Prepare and conduct online research and contribute social media and online marketing campaign ideas. . Requirements. :. . Marketing degree or any related degree. . Good oral and written English communication skills. . Must be organized, detail-oriented and articulate. . Basic HTML and Excel knowledge. . Internet savvy. . Must possess a strong interest in e-commerce websites, blogs, social media, and online marketing. . We offer a generous remuneration package including Performance Bonus and Long Service Recognition Program, MPF, Medical Insurance, Staff Purchase Discount and Training & Development Program to the right candidate.. Please send your full resume stating our reference code, your current and expected salary to [via CTgoodjobs. Apply Now. ] for application.. To know more about us, please visit. www.yesasia.com. &. www.yesstyle.com. .. https://www.facebook.com/YesStyle/. . https://www.instagram.com/yesstyle/. . https://www.youtube.com/yesstyle/. All information provided by applicants will be treated in strict confidence and used only for the recruitment purpose in accordance with employer's data policies.. ",Entry level
https://www.ctgoodjobs.hk/job/front-office-agent/05153346,Front Office Agent,Camlux Hotel 君 立 酒 店," Kowloon Bay
", 1-6 yr(s)," 2018-06-02
",Job ref no.: CT3113385-01#0021,". Responsibilities :. . . Handles guests' check-in/out procedures, reservations and enquiries. . . Provides guest service in courteous and professional manner. . . Requirements :. . . Diploma/Degree holder in hotel/hospitality management. . . Minimum 1 year's related hotel experience. . . Good team player with pleasant character and good communication skills. . . Good command of written and spoken English and Chinese. . . We offer competitive remuneration package to the successful candidate. Please send your application with full resume stating your availability, present and expected salary to :. . Human Resources Manager. . Camlux Hotel. 15 Wang Kwong Road, Kowloon Bay, Hong Kong. Email : [via CTgoodjobs. Apply Now. ]. Fax : 2593-2873. Enquiries : 2593-2874. Hotel Website :. www.camluxhotel.com. . Camlux Hotel is an equal opportunity employer and welcomes applications from all qualified candidates. The information provided will be treated in strict confidence and used for recruitment purpose only.",Non-management level
https://www.ctgoodjobs.hk/job/senior-finance-officer/05153345,Senior Finance Officer,Super Star Group," Tsuen Wan
", 4 yr(s)," 2018-06-02
",Job ref no.: CT-SFO-20180602,"Responsibilities:. • Perform general accounting functions and month-end closing for HK companies. • Prepare financial statements, bank reconciliation & schedules. • Assist in preparing consolidation and schedules. • Assist in preparing cashflow forecast. •  Ad hoc tasks as assigned. . Requirements:. •  Degree holder in accounting or finance, preferably with student membership of ACCA / HKICP or equivalent. •  4 years over above relevant working experience, preferably in audit/ manufacturing industry. • Proficiency in MS Excel, hand-on knowledge on SAP or Accpac would be an advantage. • Committed, self-initiative, good interpersonal skills and able to work under pressure. • Good command of both verbal and written English and Putonghua. Fluency in Cantonese. • Candidate with less experience will be considered as Finance Officer. • Immediate availability is highly preferred",Non-management level
https://www.ctgoodjobs.hk/job/project-coordinator/05153344,Project Coordinator,Super Star Group," Tsuen Wan
", 2-4 yr(s)," 2018-06-02
",Job ref no.: HO-PC-20180602,". The Responsibilities of the job:.  Responsible for assisting Corporate Developments & Management Manager to closely control and monitor the progress and workmanship of contractors / sub-contractors on site/stores..  Responsible for overall project management duty includes construction, cost, quality control and the profitability of the projects..  To handle tender documents and submission, contractual documents, all-rounded projects administration.  To attend regular meeting with clients and sub-contractors and to ensure on-time progresses and deliveries.  To co-ordinate with Operations, management office and different trades of contractors and suppliers..  To monitor the operation of restaurant including facilities management and equipment maintenance..  To analyze and control the Group expenses on projects, maintenance and public utilities..  To plan and draft the Layout drawings/design of the new stores..  To handle the Group facilities maintenance contracts..  To monitor the outsource works and supplier audit check..  To enhance and implement the Group operations policies and practices..  Ad hoc projects is required. . The Requirements of suitable candidate:.  3-4 years relevant experience gained from project management, knowledge in Building Studies and use of Auto CAD are an advantage.  Previous experience in sizable restaurants or food chain is required.  Solid experience in restaurant fitting out works and facilities management / maintenance.  Be adaptable and able to work independently and have strong organization and communication skills and supervision.  Reliable, analytical mind, well-organized, task and deadline oriented, self-initiative and conscientious.  Able to work under stressful environment.  Less experience will be considered as Assistant Project Coordinator.  Immediate available is preferred. We offer an attractive remuneration package, generous fringe benefits and career development programs. Interested parties, please send your full resume stating your present and expected salary and quoting our reference no. to Human Resources Department of Super Star Group, Unit 1, 14/F, Excelsior Industrial Building, 68-76.Sha Tsui Road, Tsuen Wan, N.T or e mail to [via CTgoodjobs. Apply Now. ]. . We are an equal opportunity employer; all applications will be treated in strict confidentiality and used only for recruitment purpose. Applicants who are not invited for an interview within 4 weeks may be considered for other suitable positions within the Group over a one year period, after which their personal data will be destroyed.",Middle management level
