abs_link,title,er,loc,exp,post_date,ref_no,content
https://www.ctgoodjobs.hk/job/property-officer-commercial-tower/05153209,Property Officer (Commercial Tower),CBRE," Central

", 0 yr(s)," 2018-06-02

",Job ref no.: 15002_1527912004,"CBRE is the global leader in real estate services and leverages the industry's most powerful knowledge base to meet the commercial real estate needs of its clients worldwide.. . At CBRE, you are empowered to take your career into your own hands. Our people enjoy the flexibility of working in a global real estate and property services organization with tremendous scale. Every day you are empowered to be better and this is achieved through the platform and resources you have access to and the ability to work in an inclusive and collaborative environment where you will be challenged to grow and be your best every day.. . Owing to the expansion of the team, we are currently looking for a Property Officer to join us. You will be reporting to the Manager, assisting supervisors in providing overall management services for a Grade-A Commercial Building located at Central & West District.. . You are expected to carry out below duties:. Manage the Help-desk requests and maintain proper operation of facilities' services including security, cleaning, facilities maintenance, etc;. Conduct regular site inspections as when required and make follow up action as appropriate.. Support and monitor corrective and preventative maintenance schedules;. Undertake small projects/churn work e.g. minor renovations, enhancement projects, replacements or repairs, reconfiguration, painting, carpeting). Small projects may include budgeting, contract management, safety, quality assurance, scheduling;. Ensure all inspections are performed on time and accurately and maintain the appearance and integrity of assets;. Manage the performance of suppliers and service contractors;. Support emergency call out services and incidents management;. Assist Property Manager and senior supervisor to undertake specific duties required by the client.. Relevant education or qualification in property management/ facilities management;. 3 years' relevance experience preferred. Process a good customer service approach. Well versed in Building Management Ordinance. Good decision-making and problem-solving skills;. Team player with pleasant disposition"
https://www.ctgoodjobs.hk/job/administration-officercommercial-tower/05153208,Administration Officer(Commercial Tower),CBRE," Central

", 0 yr(s)," 2018-06-02

",Job ref no.: 15006_1527912004,"CBRE is the global leader in real estate services and leverages the industry's most powerful knowledge base to meet the commercial real estate needs of its clients worldwide.. . At CBRE, you are empowered to take your career into your own hands. Our people enjoy the flexibility of working in a global real estate and property services organization with tremendous scale. Every day you are empowered to be better and this is achieved through the platform and resources you have access to and the ability to work in an inclusive and collaborative environment where you will be challenged to grow and be your best every day.. . We are currently hiring an Administration Officer to join our onsite team in a Grade-A Commercial Tower in Sheung Wan. You will be reporting to the Property Manager and providing day-to-day administrative support to the team.. . . Responsibilities. * Provide general administration and clerical support includes prepare ISO documents, uniform, stationery, memo, retrieve, report & attendance record.. * Manage the daily administrative operation for the building and management office. . Requirements. * Diploma in business administration/Property Management. * Minimum 2 years experience of relevant experience in Property / Facilities Management industry is an advantage. * Good verbal and written English & Chinese"
https://www.ctgoodjobs.hk/job/technical-officer-building-services/05153207,Technical Officer - Building Services,CBRE," Central

", 3-5 yr(s)," 2018-06-02

",Job ref no.: 15173_1527912004,"The key roles and responsibilities of the Technical Officer is to:. I. Work as an integral part of the Asset Services Technical Team and supervise and monitor the work of technicians and contractors.. II. Co-ordinate the activities of the Technical Team with the rest of the property management team to provide high-quality services to all clients.. III. Supervise and monitor technicians and contractors in repair and maintenance works and renovation projects for which you are responsible.. IV. Supervise and monitor all the daily maintenance works under safety to process.. V. Oversee general duties, such as maintaining work orders and maintenance logs, plumbing and electrical/mechanical repairs, when required to do so.. VI. Carry out any other duties as assigned by your supervisors or management.. . Responsibilities. 1. Preventative Maintenance Programmes. Assist the Technical Manager to set up, review and monitor annual preventative maintenance programmes for all building structures, systems and related equipment for the property/properties to which you are assigned. Particular attention should be paid to safety equipment such as gondolas.. Assist the Technical Manger in formulating and recommending repair and maintenance plans to clients for their approval. When a course of action has been agreed by all concerned, take part in the award of the contract, i.e. reviewing and selection of the contractor.. Organise and schedule technicians and contractors for repair and maintenance works. As far as practicable, ensure that such works incur minimum disruption to building users.. Assist the Technical Manager in preparing design, conducting feasibility studies and preparing proposals for renovation projects, including E&M requirements, builders' work preliminary cost estimates and preliminary critical path programmes for each project.. Carry out the site inspection of all installation works under local laws & regulations.. Requirements. Diploma or above in Building Services Engineering or equivalent. 3 - 5 years related experience in Property Management/Facilities Management field. Possess general knowledge and hands-on experience in technical matters, together with the ability to read and interpret blueprints and manufacturers' maintenance manuals.. Knowledge of HK building management and maintenance laws & regulations. Hands-on experience in building management procedures and the supervision of contractors."
https://www.ctgoodjobs.hk/job/part-time-business-clerk-valuation-advisory-services/05153022,"Part-time Business Clerk, Valuation & Advisory Services",CBRE," Central

", 0 yr(s)," 2018-06-02

",Job ref no.: 14529_1527897618,"At CBRE, our people enjoy the flexibility of working in a global real estate and property services organization with tremendous scale. Every day you are empowered to be better and this is achieved through the platform and resources you have access to and the ability to work in an inclusive and collaborative environment where you will be challenged to grow and be your best every day.. . To facilitate business growth we currently have an opportunity for a Business Clerk in our Valuation & Advisory Services division, Hong Kong. We are looking for a motivated and enthusiastic individual who would like to join our busy team. We are looking for fresh graduates or those who are pursuing an undergraduate degree for this role.. . To be considered for this position you must have:. * Good technical skills (particularly Microsoft Excel and Word). * A high degree of mathematical skills and accuracy in calculations. * Strong communication skills. * A strong work ethic and a willingness to work hard. * An ability to work as a team. * Fluent spoken and written English and Cantonese. An ability to speak Mandarin is an advantage. . You will be expected to maintain and update filing, inventory, mailing and database systems, as well as perform other administrative tasks to support the Valuation & Advisory team. In return you will be rewarded with the opportunity to work with industry-leading colleagues in a fast-paced and dynamic environment. If working with the best in an exciting and rewarding team environment appeals to you then we want to hear from you. Please attach your CV to your application.. . Please note that only short listed candidates will be contacted."
https://www.ctgoodjobs.hk/job/company-secretarial-officer-company-secretarial-assistant/05151774,COMPANY SECRETARIAL OFFICER / COMPANY SECRETARIAL ASSISTANT,Chang Leung Hui & Li C.P.A. Limited," Wanchai

", 1-4 yr(s)," 2018-06-02

",Job ref no.: CT3115608-01#0014,". KEY RESPONSIBILITIES. . Assist in handling full spectrum of company secretarial matters for both Hong Kong and offshore companies independently. . Well-versed and working experienced in all aspects of company secretarial practice under the Hong Kong new Companies Ordinance. . Assist in liaison with clients and managing a portfolio of clients - both Hong Kong and offshore companies independently. . Perform ad hoc duties as assigned. . Strong communication and interpersonal skills to be able to communicate with clients. . . REQUIREMENTS. . Preferably Degree-holder and Member of HKICS / ICSA. . Possess of at least 1- 4 years or above relevant working experience in professional firm, CPA firm, law firm is an advantage. . Fluency in both English and Chinese (including Putonghua) and good presentation skills. . Able to work independently and handling clients with excellent interpersonal and communication skills. . Proficiency in MS Word, Excel and Chinese Words input. . Please send resume and state expected salary, phone number and post applied to:. Director - Staff recruitment. Chang Leung Hui & Li C.P.A. Limited. 12/F., No. 3 Lockhart Road. Hong Kong. Tel.: 2527 5306. E-mail: [via CTgoodjobs. Apply Now. ]. "
https://www.ctgoodjobs.hk/job/audit-staff-all-grade-–-fresh-graduates-are-welcome/05151745,AUDIT STAFF  (ALL GRADE – FRESH GRADUATES ARE WELCOME),Chang Leung Hui & Li C.P.A. Limited," Wanchai

", 0-5 yr(s)," 2018-06-02

",Job ref no.: CT3115608-01#0013,". HKICPA qualified members or QP finalists/graduates/students. . 0 to 5 years’ accounting or auditing experience. . Good communication skills in English and Mandarin. . Diploma or Higher Diploma or Degree holder in accountancy. . . Please send resume and state expected salary, phone number and post applied to:. Director - Staff recruitment. Chang Leung Hui & Li C.P.A. Limited. 12/F., No. 3 Lockhart Road. Hong Kong. Tel.: 2527 5306. E-mail: [via CTgoodjobs. Apply Now. ]. "
https://www.ctgoodjobs.hk/job/sales-manager/05151166,Sales Manager,Chinachem Group," -

", 10-15 yr(s)," 2018-06-02

",Job ref no.: CT3115770-01#0047,"The incumbent will assist in leading a team to perform day-to-day operations and sales launch execution. Specific duties include:. . Planning & formulating sales strategies to achieve the pre-set sales targets. . Keep update market information and trends, and advise on pricing strategies. . Provide training to team members to ensure best sales / performance. . Handle after-sales enquiry and all sales related matters. . . Requirements. . Bachelor Degree in Marketing, Real Estate, Surveying or other relevant discipline and with Estate Agent’s Licence. . Minimum 10 years’ relevant experience with proven successful sales track record of high-end residential properties. . Proactive, strong leadership, analytical, result-oriented and with good commercial sense. . Excellent negotiation and bargaining skills. . Proficient in spoken and written English and Chinese. . Interested parties please send full resume stating current and expected salary, date available to:. Senior Human Resources Manager, Chinachem Group, 35-38 Floor, Tower 2, Nina Tower, 8 Yeung Uk Road, Tsuen Wan, N.T. . or email to:. [via CTgoodjobs. Apply Now. ]. Personal data collected will be used for recruitment purpose only."
https://www.ctgoodjobs.hk/job/marketing-assistant/05151140,Marketing Assistant,Chinachem Group," -

", 2-7 yr(s)," 2018-06-02

",Job ref no.: CT3115770-01#0046,". Responsibilities. . Assist Marketing Team in organizing and attending marketing activities or events to raise brand awareness;. . Perform full range of clerical and administrative support to the Marketing Department;. . Provide the support of Data-entry, data-checking and data-filling with high level of accuracy;. . Coordinate with internal and external parties to ensure smooth operations;. . Participate in ad-hoc assignments as required.. . . Requirements. . Certificate or above with at least 2 years working experience preferably in marketing or related discipline;. . Good communicator, both written and verbal English & Chinese;. . Proficiency in MS Word, Excel and PowerPoint;. . Proactive, well-organized, detail-minded, multi-tasking and able to work under pressure;. . Good manner and customer-oriented with good communication;. . Immediate available is preferred.. . Interested parties please send full resume stating current and expected salary, date available to:. Senior Human Resources Manager, Chinachem Group, 35-38 Floor, Tower 2, Nina Tower, 8 Yeung Uk Road, Tsuen Wan, N.T. . or email to:. [via CTgoodjobs. Apply Now. ]. Personal data collected will be used for recruitment purpose only."
https://www.ctgoodjobs.hk/job/company-secretarial-officer/05151135,Company Secretarial Officer,Chinachem Group," -

", 4-9 yr(s)," 2018-06-02

",Job ref no.: CT3115770-01#0045,". Requirements:. . Degree holder in Company Secretarial programmes, corporate compliance, or related disciplines. . Minimum 4 years’ solid relevant working experience. . Proficiency in CSA programme application. . Member of HKICS/ ICSA will be an advantage. . Good command of English and Chinese. . Handle full spectrum of company secretarial duties of companies within the Group.. . Responsible for preparation of documents in compliance with the statutory requirements. . Assist in handling ad-hoc projects when required. . Interested parties please send full resume stating current and expected salary, date available to:. Senior Human Resources Manager, Chinachem Group, 35-38 Floor, Tower 2, Nina Tower, 8 Yeung Uk Road, Tsuen Wan, N.T. . or email to:. [via CTgoodjobs. Apply Now. ]. Personal data collected will be used for recruitment purpose only."
https://www.ctgoodjobs.hk/job/site-clerk/05151081,Site Clerk,Chinachem Group," -

", 0-5 yr(s)," 2018-06-02

",Job ref no.: CT3115770-01#0044,". Requirements. . Form 5 or above. . Clerical work experience in site office is preferred. . Good command of spoken English and Chinese. . Proficiency in both Chinese Typing (35 wpm) and English Typing (50 wpm). . Proficiency in MS Word, Excel, PowerPoint. . . Interested parties please send full resume stating current and expected salary, date available to:. Senior Human Resources Manager, Chinachem Group, 35-38 Floor, Tower 2, Nina Tower, 8 Yeung Uk Road, Tsuen Wan, N.T. . or email to:. [via CTgoodjobs. Apply Now. ]. Personal data collected will be used for recruitment purpose only."
https://www.ctgoodjobs.hk/job/senior-quantity-surveyor/05151116,Senior Quantity Surveyor,Chinachem Group," -

", 8-13 yr(s)," 2018-06-02

",Job ref no.: CT3115770-01#0043,". MHKIS with a degree in quantity surveying or construction economics. . Minimum 8 years’ relevant experience in quantity surveying with at least 5 years’ post qualification experience. . Proven experience in handling large scale residential / commercial / hotel projects. . Good initiative and conscientious. . Good command of English and Chinese. . Responsible for pre and post contract quantity surveying works for major residential / commercial / hotel projects. . Responsible for managing and supervising the performance of works carried out by consultant quantity surveying firms. . Interested parties please send full resume stating current and expected salary, date available to:. Senior Human Resources Manager, Chinachem Group, 35-38 Floor, Tower 2, Nina Tower, 8 Yeung Uk Road, Tsuen Wan , N.T.. or email to:. [via CTgoodjobs. Apply Now. ]. Personal data collected will be used for recruitment purpose only."
https://www.ctgoodjobs.hk/job/sales-executive/05151079,Sales Executive,Chinachem Group," -

", 1-6 yr(s)," 2018-06-02

",Job ref no.: CT3115770-01#0042,"• Diploma or above in marketing /Business Administration/Real Estate or related discipline. • Minimum 1 years’ relevant experience. • Good interpersonal communication and presentation skill. • Proficient in spoken and written English and Chinese including Putonghua. • Responsible for daily administrative work to provide sales support. • Assist in estate agents management and sales launch. • Provide after-sale services to customers. • Willing to work on roster basis, weekends and public holidays. Interested parties please send full resume stating current and expected salary, date available to:. Senior Human Resources Manager, Chinachem Group, 35-38 Floor, Tower 2, Nina Tower, 8 Yeung Uk Road, Tsuen Wan, N.T. . or email to:. [via CTgoodjobs. Apply Now. ]. Personal data collected will be used for recruitment purpose only."
https://www.ctgoodjobs.hk/job/sales-marketing-officer/05151113,Sales & Marketing Officer,Chinachem Group," -

", 3-8 yr(s)," 2018-06-02

",Job ref no.: CT3115770-01#0041,". Duties:. . Responsible for the marketing of the company’s property projects. . Assist in the formulation and implementation of sales and marketing plan. . Support and execute a full spectrum of marketing and promotional campaigns. . Responsible for the production of marketing tools (including sales brochure, booklet, TV commercial, video, computer renderings, print advertisements, outdoor billboards, online/ social media interactive tools, etc.). . Coordinate and support marketing and PR events and promotional activities. . Coordinate media placement. . Liaise with and develop good relationships with strategic partners and production suppliers. . Conduct market research and competitor monitoring. . . Requirements:. . University graduate in Marketing, Business Administration, Communications or related disciplines. . Minimum 3 years’ solid experience in Sales & Marketing preferably in property field. . Strong communication, presentation and interpersonal skills with good command of written and spoken English and Chinese. . Creative, self-motivated and responsible; with passion for the marketing field. . Good team player while with ability to work independently with good organizational and analytical skills. . Dynamic and able to meet tight schedule and work under pressure. . Good computer skills including Microsoft Word, Excel, PowerPoint, etc.. . Interested parties please send full resume stating current and expected salary, date available to:. Senior Human Resources Manager, Chinachem Group, 35-38 Floor, Tower 2, Nina Tower, 8 Yeung Uk Road, Tsuen Wan, N.T. . or email to:. [via CTgoodjobs. Apply Now. ]. Personal data collected will be used for recruitment purpose only."
https://www.ctgoodjobs.hk/job/sales-leasing-officer/05151078,Sales & Leasing Officer,Chinachem Group," -

", 3-8 yr(s)," 2018-06-02

",Job ref no.: CT3115770-01#0040,". Degree in marketing /Business Administration/Real Estate or related discipline. . Minimum 3 years’ sales and leasing related experience. . Proactive and customer oriented. . Good interpersonal communication and presentation skill. . Fluent in spoken and written English and Chinese. Proficiency in Putonghua an advantage. . Good computer skills. . Handle sales and leasing activities including new lettings, renewals and tenancy administration. . Preparing regular reports, managing files, coordinating premises takeover & handover, fitting-out, renovation management. . Handle enquiries and complaints. . Interested parties please send full resume stating current and expected salary, date available to:. Senior Human Resources Manager, Chinachem Group, 35-38 Floor, Tower 2, Nina Tower, 8 Yeung Uk Road, Tsuen Wan, N.T. . or email to:. [via CTgoodjobs. Apply Now. ]. Personal data collected will be used for recruitment purpose only."
https://www.ctgoodjobs.hk/job/sales/05151110,Sales,Chinachem Group," -

", 0-5 yr(s)," 2018-06-02

",Job ref no.: CT3115770-01#0039,". Requirements. . Associate Degree or above with relevant experience. . Experience gained from Property Developer is preferred. . Proactive, customer-oriented and a team player with positive working attitude and excellent integrity. . Presentable and process good negotiation and communication skills. . Proficient in spoken and written English and Chinese including Putonghua. . Hands-on PC skills including Word and Excel preferred. . Fresh graduates will also be considered. . . Responsibilities. . Responsible for property selling, sales launch, customer services and related documentation works. . Conduct market research; perform and update relevant reports. . Handle ad-hoc assignments as required. . Six-day work week. . Interested parties please send full resume stating current and expected salary, date available to:. Senior Human Resources Manager, Chinachem Group, 35-38 Floor, Tower 2, Nina Tower, 8 Yeung Uk Road, Tsuen Wan , N.T.. or email to:. [via CTgoodjobs. Apply Now. ]. Personal data collected will be used for recruitment purpose only."
https://www.ctgoodjobs.hk/job/resident-safety-manager/05151077,Resident Safety Manager,Chinachem Group," -

", 8-13 yr(s)," 2018-06-02

",Job ref no.: CT3115770-01#0038,". Higher Certificate in construction-related discipline/safety management/safety-related discipline. . Registered Safety Officer (HK); Registered Safety Auditor and a member of one or more safety professional bodies. . Minimum 8 years’ experience in safety management with at least 3 years’ in managerial level and in building construction safety. . Experience with MTR’s building development will be advantages. . Review and enhance the existing safety management system for the property development projects of the Group to achieve a higher standard of construction safety. . Supervise a team of project safety officers. . Handle injury accident cases including any subsequent legal proceedings. . Provide safety advice to any members of the Group as and when necessary. . Interested parties please send full resume stating current and expected salary, date available to:. Senior Human Resources Manager, Chinachem Group, 35-38 Floor, Tower 2, Nina Tower, 8 Yeung Uk Road, Tsuen Wan, N.T. . or email to:. [via CTgoodjobs. Apply Now. ]. Personal data collected will be used for recruitment purpose only."
https://www.ctgoodjobs.hk/job/project-manager-assistant-project-manager/05151106,Project Manager / Assistant Project Manager,Chinachem Group," -

", 5-10 yr(s)," 2018-06-02

",Job ref no.: CT3115770-01#0037,". Degree in Architectural Studies or related disciplines. . HKIA registered Architect with minimum of 5 to 10 years’ postgraduate experience.. . Good communication and interpersonal skills. . Fluent in written and spoken English and Chinese. . Monitor overall project management, oversee site works in accordance with specifications and drawings. . Candidates with less experience will be considered for the post of Assistant Project Manager. . Interested parties please send full resume stating current and expected salary, date available to: Senior Human Resources Manager, Chinachem Group, 35-38 Floor, Tower 2, Nina Tower, 8 Yeung Uk Road, Tsuen Wan, N.T. or email to:. [via CTgoodjobs. Apply Now. ]. . Personal data collected will be used for recruitment purpose only."
https://www.ctgoodjobs.hk/job/executive-officer/05151105,Executive Officer,Chinachem Group," -

", 3-8 yr(s)," 2018-06-02

",Job ref no.: CT3115770-01#0036,". Requirements. . Bachelor Degree holder. . Minimum 3 years relevant experience in property management. . Experienced in handling IO meetings issues and E&M issues will be an advantage. . Knowledge in DMC and the Building Management Ordinance. . Good communication and writing skills. . Candidates with less experience will be considered as Assistant Executive Officer. . . Job Duties. . Supervise sites’ operation and manage portfolio.. . Assist in preparing and monitoring annual management budget and expenses.. . Contract and tender administration. . Attend Owners Committee meetings and maintain good relationship with clients. . Acknowledge of BMO/ DMC enforcement. . Interested parties please send full resume stating current and expected salary, date available to:. Senior Human Resources Manager, Chinachem Group, 35-38 Floor, Tower 2, Nina Tower, 8 Yeung Uk Road, Tsuen Wan, N.T. . or email to:. [via CTgoodjobs. Apply Now. ]. Personal data collected will be used for recruitment purpose only."
